Blocked,Community List,Dynamic Link,Field of Interest (text),project photos,project description,Location,City,State,Country
vibetherapy,adjacent,https://adjacent.page.link/nwzpdga1c2q4ebpk7,community building  information science  future building  tech  design,//a6aa770fd66eab97e1ba58f0edcbe282.cdn.bubble.io/f1734569595764x990877276932322400/adjacent%20background.png,"this is the official adjacent card! if you have feedback on the app, please message me here!

i want to create a platform that connects people based on what they want to do. life is short, and i think if people are given the chance to build a community of people that can help them create their ideas, whether it's research, a new law, a start-up, a community initiative, you'll see the world becoming a much more equitable, vibrant place. this is why i built adjacent.","70 prince st, flushing, ny 11354, usa",70 prince st,flushing,usa
,adjacent,,art,"//a6aa770fd66eab97e1ba58f0edcbe282.cdn.bubble.io/f1694525933840x683226200066530200/61f5d515-4c29-4399-9e0a-972e74b6b772.jpeg , //a6aa770fd66eab97e1ba58f0edcbe282.cdn.bubble.io/f1694526008861x676043698016074600/4ebb5a78-72fc-4dd6-b509-b2db25a03066.jpeg , //a6aa770fd66eab97e1ba58f0edcbe282.cdn.bubble.io/f1694526355120x538436258002248400/1474d34a-6334-40f0-aed6-e69dfeb870de.jpeg , //a6aa770fd66eab97e1ba58f0edcbe282.cdn.bubble.io/f1694526419678x934862842951851900/8da3205b-2b1a-4e8b-93f7-83c035b24ce0.jpeg","i want to create an augmented reality museum along the berlin wall, specifically the east side gallery, so people can see how the art of graffiti grows throughout the decades. people could hold up their phone to the wall and tap through the decades, with notes at the bottom from the graffiti artists.",,,,
,adjacent,,food,"//a6aa770fd66eab97e1ba58f0edcbe282.cdn.bubble.io/f1697928577477x781445661254566800/d29feb7d-def0-4eb4-b216-7ca805a54cb1.jpeg , //a6aa770fd66eab97e1ba58f0edcbe282.cdn.bubble.io/f1697928608490x630997391159787000/a4dd6e00-4d6f-466a-861a-75d33191f566.jpeg , //a6aa770fd66eab97e1ba58f0edcbe282.cdn.bubble.io/f1697928620349x528377585515167100/6631d1ea-dca4-45c6-b867-59d49262d3b7.jpeg , //a6aa770fd66eab97e1ba58f0edcbe282.cdn.bubble.io/f1697928631997x559267176342741060/249e6436-6b59-4975-9383-738ee08dd3ad.jpeg","in this crazy time for the world, i want to create a palestinian-israeli fusion restaurant to celebrate the world we can make when we put down our pitchforks and pick up our forks. i’m thinking some za’star spiced matzo ball soup, some maftool knishes, some mtabbak flavored ruggulach. would you come through??","14206 manifest way, north potomac, md 20878, usa",14206 manifest way,north potomac,usa
,adjacent,https://adjacent.page.link/flqtvsho4bpwlwdn8,technology development,,portfolio management solution for commercial real estate,,,,
,adjacent,,,,,,,,
,adjacent,,medicine  sociology  psychology,"//a6aa770fd66eab97e1ba58f0edcbe282.cdn.bubble.io/f1704715210463x765326378310525300/4a3b80_eee773da0d4c4e93b70347416142ca77~mv2.jpeg , //a6aa770fd66eab97e1ba58f0edcbe282.cdn.bubble.io/f1704715196197x965600232621297800/brain-6916896_640.webp , //a6aa770fd66eab97e1ba58f0edcbe282.cdn.bubble.io/f1704715203772x359513375983738750/autism-4982235_640.webp , //a6aa770fd66eab97e1ba58f0edcbe282.cdn.bubble.io/f1704715641066x167148846018632770/kid-boy-hands-holding-puzzle-260nw-1926666809%20copy.tiff","empowerme is a comprehensive project aimed at leveraging technology to provide support and empowerment for individuals with autism. the project focuses on creating inclusive tools and resources that enhance communication, foster skill development, and promote overall well-being for individuals on the autism spectrum.",,,,
,adjacent,,online rental,,online marketplace to connect renters with hosts,,,,
,adjacent,,community building  business,//a6aa770fd66eab97e1ba58f0edcbe282.cdn.bubble.io/f1707522096417x459726064803035260/img_7551.jpeg,"startup pitch:
i moved the netherlands 6 months ago and i’ve noticed a fierce competition among tenants to rent apartments in dutch cities. additionally, rent prices are ridiculously high. i came up with an idea for the app that would put its users in an advantageous position to rent the apartments. mvp of the app would have specs such as:
1. live scanner of apartments to rent listed at existing websites. 
2. a tinder-like matching system for people who want to live with a flatmate. 

background: 
1. currently there are a few of such scanners that are growing although none of them works well neither is properly marketed.
2. average rent price of a one bedroom is around 25% higher than price of a shared two bedroom therefore many people are willing to live with flatmates but currently the only places to find them are facebook and whatsapp groups.

why will it work:
finding an apartment to rent is a pain in the as* and  people are super desperate to rent anything.  users of our app will save themselves headaches, time and money.",,,,
user0,adjacent,https://adjacent.page.link/pzpbccsc2w5vkmpj6,psychedelictherapy  therapy,"//a6aa770fd66eab97e1ba58f0edcbe282.cdn.bubble.io/f1707631785041x902400029997476600/img_6305.jpeg , //a6aa770fd66eab97e1ba58f0edcbe282.cdn.bubble.io/f1707631792220x949875587937471900/img_6304.jpeg , //a6aa770fd66eab97e1ba58f0edcbe282.cdn.bubble.io/f1707631877188x749855180488158000/img_6306.jpeg , //a6aa770fd66eab97e1ba58f0edcbe282.cdn.bubble.io/f1707631884241x821734807367002800/img_6307.jpeg","i want to create a cafe for shrooms. it would be extremely cozy, and it would have group therapy cards so people could have deep conversations with their friends. i imagine the cafe layout would have little cubbies and you could reserve them for three hours at a time.","amherst, ma, usa",amherst,ma,usa
,adjacent,,fintech   world peace  community building  economics  business  computer science  finance  mathematics,//a6aa770fd66eab97e1ba58f0edcbe282.cdn.bubble.io/f1708701315032x515872049742362750/polish_20230328_094145613.jpg,"i've come up with a way of building cooperative networks of digital money transactions that i think has a lot of potential. it might be difficult to understand and believe the concept if you don't have a strong background in network dynamics; but i'll try to explain it simply.

simplified explanation:
it's like an automated pay-it-forward system. say, a user buys lunch and adds a voluntary 10% to 'help' the network – without expectation of return –, goes home and, by the end of the week or so, little by little, distributions of these additionals made from others within the network have recouped back 100% of the base transaction. not exactly a free lunch, but one that initial user could have again. the network 'helps' back greatly as a compound effect to those that 'need' it.

technical explanation:
the math may seem simple and perhaps simply stuck at a given state, yet it hides the overall dynamics that can only be interpreted as a whole with lots of activity within. the way it works is that transactions are made with a voluntary fee, this goes to an auxiliary account (b') of the receiver. transactions are registered reinforcing or weakening incoming and outgoing links between accounts (li & lo) and a 'metabalance' (v) is defined for each account. weighted distributions of the auxiliary accounts weaken incoming links while trying to match each account's balance up to its metabalance, emulating an extremely high yield rate, though bounded to a modified balance equation: b' + b = li - lo + v. at anytime the sum of all balances is equal to the sum of all metabalances.

since both balance (in the base) and metabalance (in the additional) are 'transacted' in the same operation, there's the option to make transactions as both (b,v) forward, one forward and the other backwards, only balance forward or only metabalance forward. this enables the possiblility to define goals within the network, for example one, to try to equate metabalance across, by sending the metabalance of the transaction to the party with the least, this would prevent 'demand collapse by liquidity strain' of base consumers, a sort of dynamic basic income.  

applications:
this could be setup as a 'spendings account' in contrast to a 'savings account'. it wouldn't have a certain periodic yield based on the amount held, but a 'gradual cashback' based on the amount of the additional on transactions made and proximity to commerce with higher network activity and spending.","cl. 24 sur #39-36, envigado, antioquia, colombia",cl. 24 sur #39-36,envigado,colombia
