Community,Priority,Title,Creation Date,Modified Date,Creator
Adjacent,Yes,Software Development,2023-11-09 21:26:00,2024-10-21 02:07:00,rassaby
Adjacent,No,Android,2024-04-04 10:24:00,2024-10-20 17:43:00,Tamara
Adjacent,No,Notion,2024-05-16 10:19:00,2024-10-20 17:44:00,BradleyJHubbard
Adjacent,No,Python,2024-05-19 13:25:00,2024-10-20 17:10:00,rahulSindhav
Adjacent,No,Pyspark,2024-05-19 13:25:00,2024-10-20 17:10:00,rahulSindhav
Adjacent,No,Databricks,2024-05-19 13:25:00,2024-10-20 17:10:00,rahulSindhav
Wellfound Conference,No,Human Resources,2024-10-20 16:44:00,2024-10-20 16:44:00,Iwakintoye
Wellfound Conference,Yes,Community Coordination,2024-10-20 16:44:00,2024-10-20 16:44:00,Iwakintoye
Wellfound Conference,Yes,Business Plan Feedback,2024-10-20 16:44:00,2024-10-20 16:44:00,Iwakintoye
Wellfound Conference,Yes,Ux Design,2024-10-20 16:44:00,2024-10-20 16:44:00,Iwakintoye
Wellfound Conference,Yes,Sales,2024-10-20 16:44:00,2024-10-20 16:44:00,Iwakintoye
Wellfound Conference,Yes,Project Management,2024-10-20 16:44:00,2024-10-20 16:44:00,Iwakintoye
Wellfound Conference,Yes,Leadership,2024-10-20 16:44:00,2024-10-20 16:44:00,Iwakintoye
Wellfound Conference,Yes,Video Production,2024-10-20 16:44:00,2024-10-20 16:44:00,Iwakintoye
Wellfound Conference,No,Pitch Feedback,2024-10-20 16:44:00,2024-10-20 16:44:00,Iwakintoye
Wellfound Conference,Yes,Accounting,2024-10-20 16:44:00,2024-10-20 16:44:00,Iwakintoye
Wellfound Conference,Yes,Industry Expert,2024-10-20 16:44:00,2024-10-20 16:44:00,Iwakintoye
Wellfound Conference,Yes,Sustainability,2024-10-20 16:44:00,2024-10-20 16:44:00,Iwakintoye
Wellfound Conference,Yes,Marketing,2024-10-20 16:44:00,2024-10-20 16:44:00,Iwakintoye
Wellfound Conference,No,General Help---Happy To Lend A Helping Hand!,2024-10-20 16:44:00,2024-10-20 16:44:00,Iwakintoye
Wellfound Conference,Yes,Data Analysis,2024-10-20 16:44:00,2024-10-20 16:44:00,Iwakintoye
Wellfound Conference,Yes,Music/Audio Production,2024-10-20 16:44:00,2024-10-20 16:44:00,Iwakintoye
Wellfound Conference,No,Graphic Design,2024-10-20 16:44:00,2024-10-20 16:44:00,Iwakintoye
Wellfound Conference,Yes,3D Printing,2024-10-20 16:44:00,2024-10-20 16:44:00,Iwakintoye
Wellfound Conference,Yes,Operations,2024-10-20 16:44:00,2024-10-20 16:44:00,Iwakintoye
Wellfound Conference,Yes,Ux/Ui Research,2024-10-20 16:44:00,2024-10-20 16:44:00,Iwakintoye
Wellfound Conference,No,Activism Strategy,2024-10-20 16:44:00,2024-10-20 16:44:00,Iwakintoye
Wellfound Conference,Yes,Art,2024-10-20 16:44:00,2024-10-20 16:44:00,Iwakintoye
Wellfound Conference,Yes,Technical Writing,2024-10-20 16:44:00,2024-10-20 16:44:00,Iwakintoye
Wellfound Conference,Yes,Ai Expertise,2024-10-20 16:44:00,2024-10-20 16:44:00,Iwakintoye
Wellfound Conference,Yes,Grant Writing,2024-10-20 16:44:00,2024-10-20 16:44:00,Iwakintoye
Wellfound Conference,Yes,Finance,2024-10-20 16:44:00,2024-10-20 16:44:00,Iwakintoye
Wellfound Conference,Yes,Writing,2024-10-20 16:44:00,2024-10-20 16:44:00,Iwakintoye
Wellfound Conference,Yes,Research Mentorship,2024-10-20 16:44:00,2024-10-20 16:44:00,Iwakintoye
