Original Item?,Communities,Priority,Project Type,Title,Creation Date,Modified Date
yes,"Adjacent , Launch New Hampshire , 1517 Founders , Chicago Builders , University of Michigan Innovate Blue , LaGuardia College , Rockland Community College",True,"Activism , Art , Business/Start-up , Research",Agriculture,2023-08-22 14:33:00,2025-02-13 16:27:00
yes,"Adjacent , Launch New Hampshire , 1517 Founders , Chicago Builders , University of Michigan Innovate Blue , LaGuardia College , Rockland Community College",False,"Activism , Art , Business/Start-up , Research",Archeology,2023-08-22 14:33:00,2025-02-13 16:27:00
yes,"Adjacent , Launch New Hampshire , 1517 Founders , Chicago Builders , University of Michigan Innovate Blue , LaGuardia College , Rockland Community College",True,"Activism , Art , Business/Start-up , Research",Architecture,2023-08-22 14:33:00,2025-02-13 16:27:00
yes,"Adjacent , Launch New Hampshire , 1517 Founders , Chicago Builders , University of Michigan Innovate Blue , LaGuardia College , Rockland Community College",True,"Activism , Art , Business/Start-up , Research",Art,2023-08-22 14:33:00,2025-02-13 16:27:00
yes,"Adjacent , Launch New Hampshire , 1517 Founders , Chicago Builders , University of Michigan Innovate Blue , LaGuardia College , Rockland Community College",True,"Activism , Art , Business/Start-up , Research",Astronomy,2023-08-22 14:33:00,2025-02-13 16:27:00
yes,"Adjacent , Launch New Hampshire , 1517 Founders , Chicago Builders , University of Michigan Innovate Blue , LaGuardia College , Rockland Community College",True,"Activism , Art , Business/Start-up , Research",Biology,2023-08-22 14:33:00,2025-02-13 16:27:00
yes,"Adjacent , Launch New Hampshire , 1517 Founders , Chicago Builders , University of Michigan Innovate Blue , LaGuardia College , Rockland Community College",True,"Activism , Art , Business/Start-up , Research",Business,2023-08-22 14:33:00,2025-02-13 16:27:00
yes,"Adjacent , Launch New Hampshire , 1517 Founders , Chicago Builders , University of Michigan Innovate Blue , LaGuardia College , Rockland Community College",False,"Activism , Art , Business/Start-up , Research",Chemistry,2023-08-22 14:33:00,2025-02-13 16:27:00
yes,"Adjacent , Launch New Hampshire , 1517 Founders , Chicago Builders , University of Michigan Innovate Blue , LaGuardia College , Rockland Community College",False,"Activism , Art , Business/Start-up , Research",Civil Engineering,2023-08-22 14:33:00,2025-02-13 16:27:00
yes,"Adjacent , Launch New Hampshire , 1517 Founders , Chicago Builders , University of Michigan Innovate Blue , LaGuardia College , Rockland Community College",True,"Activism , Art , Business/Start-up , Research",Community Building,2023-08-22 14:33:00,2025-02-13 16:27:00
yes,"Adjacent , Launch New Hampshire , 1517 Founders , Chicago Builders , University of Michigan Innovate Blue , LaGuardia College , Rockland Community College",False,"Activism , Art , Business/Start-up , Research",CommunicationMedia,2023-08-22 14:33:00,2025-02-13 16:27:00
yes,"Adjacent , Launch New Hampshire , 1517 Founders , Chicago Builders , University of Michigan Innovate Blue , LaGuardia College , Rockland Community College",True,"Activism , Art , Business/Start-up , Research",Computer Science,2023-08-22 14:33:00,2025-02-13 16:27:00
yes,"Adjacent , Launch New Hampshire , 1517 Founders , Chicago Builders , University of Michigan Innovate Blue , LaGuardia College , Rockland Community College",True,"Activism , Art , Business/Start-up , Research",Design,2023-08-22 14:33:00,2025-02-13 16:27:00
yes,"Adjacent , Launch New Hampshire , 1517 Founders , Chicago Builders , University of Michigan Innovate Blue , LaGuardia College , Rockland Community College",True,"Activism , Art , Business/Start-up , Research",Economics,2023-08-22 14:33:00,2025-02-13 16:27:00
yes,"Adjacent , Launch New Hampshire , 1517 Founders , Chicago Builders , University of Michigan Innovate Blue , LaGuardia College , Rockland Community College",True,"Activism , Art , Business/Start-up , Research",Education,2023-08-22 14:33:00,2025-02-13 16:27:00
yes,"Adjacent , Launch New Hampshire , 1517 Founders , Chicago Builders , University of Michigan Innovate Blue , LaGuardia College , Rockland Community College",True,"Activism , Art , Business/Start-up , Research",Electrical Engineering,2023-08-22 14:33:00,2025-02-13 16:27:00
yes,"Adjacent , Launch New Hampshire , 1517 Founders , Chicago Builders , University of Michigan Innovate Blue , LaGuardia College , Rockland Community College",True,"Activism , Art , Business/Start-up , Research",Environmental Science,2023-08-22 14:33:00,2025-02-13 16:27:00
yes,"Adjacent , Launch New Hampshire , 1517 Founders , Chicago Builders , University of Michigan Innovate Blue , LaGuardia College , Rockland Community College",False,"Activism , Art , Business/Start-up , Research",Ethnology,2023-08-22 14:33:00,2025-02-13 16:27:00
yes,"Adjacent , Launch New Hampshire , 1517 Founders , Chicago Builders , University of Michigan Innovate Blue , LaGuardia College , Rockland Community College",True,"Activism , Art , Business/Start-up , Research",Equitable Development,2023-08-22 14:33:00,2025-02-13 16:27:00
yes,"Adjacent , Launch New Hampshire , 1517 Founders , Chicago Builders , University of Michigan Innovate Blue , LaGuardia College , Rockland Community College",False,"Activism , Art , Business/Start-up , Research",Future Building,2023-08-22 14:33:00,2025-02-13 16:27:00
yes,"Adjacent , Launch New Hampshire , 1517 Founders , Chicago Builders , University of Michigan Innovate Blue , LaGuardia College , Rockland Community College",False,"Activism , Art , Business/Start-up , Research",History,2023-08-22 14:33:00,2025-02-13 16:27:00
yes,"Adjacent , Launch New Hampshire , 1517 Founders , Chicago Builders , University of Michigan Innovate Blue , LaGuardia College , Rockland Community College",False,"Activism , Art , Business/Start-up , Research",Information Science,2023-08-22 14:33:00,2025-02-13 16:27:00
yes,"Adjacent , Launch New Hampshire , 1517 Founders , Chicago Builders , University of Michigan Innovate Blue , LaGuardia College , Rockland Community College",False,"Activism , Art , Business/Start-up , Research",LanguagesLinguistics,2023-08-22 14:33:00,2025-02-13 16:27:00
yes,"Adjacent , Launch New Hampshire , 1517 Founders , Chicago Builders , University of Michigan Innovate Blue , LaGuardia College , Rockland Community College",False,"Activism , Art , Business/Start-up , Research",Law,2023-08-22 14:33:00,2025-02-13 16:27:00
yes,"Adjacent , Launch New Hampshire , 1517 Founders , Chicago Builders , University of Michigan Innovate Blue , LaGuardia College , Rockland Community College",False,"Activism , Art , Business/Start-up , Research",Literature,2023-08-22 14:33:00,2025-02-13 16:27:00
yes,"Adjacent , Launch New Hampshire , 1517 Founders , Chicago Builders , University of Michigan Innovate Blue , LaGuardia College , Rockland Community College",False,"Activism , Art , Business/Start-up , Research",Mathematics,2023-08-22 14:33:00,2025-02-13 16:27:00
yes,"Adjacent , Launch New Hampshire , 1517 Founders , Chicago Builders , University of Michigan Innovate Blue , LaGuardia College , Rockland Community College",False,"Activism , Art , Business/Start-up , Research",Mechanical Engineering,2023-08-22 14:33:00,2025-02-13 16:27:00
yes,"Adjacent , Launch New Hampshire , 1517 Founders , Chicago Builders , University of Michigan Innovate Blue , LaGuardia College , Rockland Community College",False,"Activism , Art , Business/Start-up , Research",MedicineHealth,2023-08-22 14:33:00,2025-02-13 16:27:00
yes,"Adjacent , Launch New Hampshire , 1517 Founders , Chicago Builders , University of Michigan Innovate Blue , LaGuardia College , Rockland Community College",True,"Activism , Art , Business/Start-up , Research",Music,2023-08-22 14:33:00,2025-02-13 16:27:00
yes,"Adjacent , Launch New Hampshire , 1517 Founders , Chicago Builders , University of Michigan Innovate Blue , LaGuardia College , Rockland Community College",False,"Activism , Art , Business/Start-up , Research",Performing Arts,2023-08-22 14:33:00,2025-02-13 16:27:00
yes,"Adjacent , Launch New Hampshire , 1517 Founders , Chicago Builders , University of Michigan Innovate Blue , LaGuardia College , Rockland Community College",False,"Activism , Art , Business/Start-up , Research",Philosophy,2023-08-22 14:33:00,2025-02-13 16:27:00
yes,"Adjacent , Launch New Hampshire , 1517 Founders , Chicago Builders , University of Michigan Innovate Blue , LaGuardia College , Rockland Community College",False,"Activism , Art , Business/Start-up , Research",Physics,2023-08-22 14:33:00,2025-02-13 16:27:00
yes,"Adjacent , Launch New Hampshire , 1517 Founders , Chicago Builders , University of Michigan Innovate Blue , LaGuardia College , Rockland Community College",False,"Activism , Art , Business/Start-up , Research",Politics,2023-08-22 14:33:00,2025-02-13 16:27:00
yes,"Adjacent , Launch New Hampshire , 1517 Founders , Chicago Builders , University of Michigan Innovate Blue , LaGuardia College , Rockland Community College",False,"Activism , Art , Business/Start-up , Research",Psychology,2023-08-22 14:33:00,2025-02-13 16:27:00
yes,"Adjacent , Launch New Hampshire , 1517 Founders , Chicago Builders , University of Michigan Innovate Blue , LaGuardia College , Rockland Community College",False,"Activism , Art , Business/Start-up , Research",Sociology,2023-08-22 14:33:00,2025-02-13 16:27:00
yes,"Adjacent , Launch New Hampshire , 1517 Founders , Chicago Builders , University of Michigan Innovate Blue , LaGuardia College , Rockland Community College",False,"Activism , Art , Business/Start-up , Research",Sustainability,2023-08-22 14:33:00,2025-02-13 16:27:00
